,word,definition,frequency
0,ὁ,"
		the following
    	",1
1,τόνος,"
		that by which a thing is stretched,
    	",1
2,τονή,"
		prolongation
    	",1
3,δέ,"
		but
    	",24
4,ἀπαμείβομαι,"
		reply, answer,
    	",1
5,πρόσφημι,"
		speak to, address
    	",2
6,πολύμητις,"
		of many counsels,
    	",1
7,Ὀδυσσεύς,"
		Odysseus,
    	",1
8,Ἀλκίνοος,"
[definition unavailable]
",1
9,Κρείων,"
		Creon.
    	",1
10,κρείων,"
		ruler, lord, master
    	",1
11,κρεῖον,"
		meat-tray, dresser
    	",1
12,πᾶς,"
[definition unavailable]
",1
13,πᾶϲ,"
[definition unavailable]
",1
14,ἀριδείκετος,"
		famous, glorious
    	",1
15,λᾶας,"
		stone
    	",1
16,λαός,"
		men
    	",1
17,ἄημι,"
		vā´ti
    	",3
18,ἀάω,"
		hurt, damage,
    	",1
19,ἐάω,"
		suffer, permit
    	",1
20,ἐή,"
[definition unavailable]
",3
21,εἰμί,"
		sum
    	",1
22,ἧ,"
		where,
    	",2
23,ᾗ,"
		which way, where, whither
    	",3
24,ἤ,"
		or
    	",3
25,ἤ2,"
		hi
    	",3
26,ἦ,"
		in truth, of a surety
    	",3
27,ἦ2,"
		sum
    	",3
28,ἦ3,"
[definition unavailable]
",3
29,ἦ4,"
		surely, doubtless
    	",3
30,ἠέ,"
		ah!
    	",3
31,ἠμί,"
		say
    	",3
32,ἵημι,"
		Ja-c-io
    	",1
33,ὅς,"
		his, her,
    	",1
34,σύ,"
		thou
    	",1
35,τοι,"
		let me tell you, mark you, look you
    	",2
36,τοι2,"
[definition unavailable]
",2
37,μέν,"
		indeed, of a truth
    	",4
38,μένω,"
		stay, wait
    	",1
39,ὅδε,"
		this,
    	",1
40,κάλως,"
		reefing rope, reef
    	",1
41,κᾶλον,"
		wood
    	",2
42,καλός,"
		beautiful
    	",1
43,ἀκούω,"
		hear
    	",1
44,ἀοιδάω,"
[definition unavailable]
",2
45,ἀοιδός,"
		singer, minstrel, bard,
    	",2
46,τοιόσδε,"
		such as this,
    	",1
47,ὄις,"
		ram
    	",1
48,οἷος,"
		such as, of what sort,
    	",1
49,οἶος,"
		alone
    	",1
50,ὁδάω,"
		export and sell
    	",1
51,ὁδός,"
		a way, path, track, road, highway
    	",1
52,θέω,"
		dhávate
    	",1
53,θέω2,"
		shine, gleam
    	",1
54,θεάω,"
[definition unavailable]
",1
55,θεός,"
		God, the Deity
    	",2
56,ἐναλίγκιος,"
		like, resembling
    	",1
57,αὐδάω,"
		utter sounds, speak,
    	",1
58,αὐδή,"
		human voice, speech
    	",1
59,ἕ,"
		sui.
    	",1
60,οὗ,"
		where
    	",7
61,οὗ2,"
		him, her
    	",7
62,οὐ,"
		fact
    	",1
63,οὐ10,"
		no truly
    	",1
64,οὐ11,"
		assuredly not
    	",1
65,οὐ12,"
		no truly, nay verily
    	",1
66,οὐ13,"
		on the contrary . . not
    	",1
67,οὐ14,"
		surely not, verily not
    	",1
68,οὐ15,"
		since
    	",1
69,οὐ16,"
		not however
    	",1
70,οὐ17,"
		nevertheless, notwithstanding, yet, still
    	",1
71,οὐ18,"
		never yet ai any time
    	",1
72,οὐ2,"
		for not
    	",1
73,οὐ3,"
		indeed
    	",1
74,οὐ4,"
		for surely not
    	",1
75,οὐ5,"
		no,—certainly not
    	",1
76,οὐ6,"
		for I don't suppose
    	",1
77,οὐ7,"
		for in no manner
    	",1
78,οὐ8,"
		certainly not, in sooth not
    	",1
79,οὐ9,"
[definition unavailable]
",1
80,γάρ,"
		for
    	",6
81,γάρος,"
		sauce
    	",6
82,ἐγώ,"
		I at least, for my part, indeed, for myself
    	",1
83,γε,"
		at least, at any rate
    	",13
84,τίς,"
		who? which?
    	",1
85,τις,"
		anyone, anything
    	",1
86,φῆμις,"
		speech, talk,
    	",2
87,φημί,"
		Spir. Prooem., Eratosth.Prooem.
    	",2
88,τέλος,"
		coming to pass, performance, consummation
    	",1
89,χαρίεις,"
		graceful, beautiful
    	",1
90,ὅστε,"
		who, which,
    	",1
91,ὅστις,"
		that
    	",2
92,ὅτε,"
		when, at the time when
    	",2
93,ὅτε2,"
		when, at the time when
    	",2
94,ὅτι,"
		that
    	",2
95,ὅτι2,"
		that
    	",1
96,εὐφρόσυνος,"
		cheery, merry
    	",1
97,εὐφροσύνη,"
		mirth, merriment
    	",1
98,ἔχις,"
		viper
    	",1
99,ἔχω,"
		check
    	",2
100,ἔχω2,"
		bear, carry, bring
    	",2
101,χάω,"
[definition unavailable]
",1
102,χέω,"
		pour
    	",1
103,ἄατος,"
[definition unavailable]
",2
104,ἄτη,"
		bewilderment, infatuation,
    	",1
105,ἆτος,"
		insatiable.
    	",2
106,ἀίτας,"
		a beloved youth, favourite
    	",10
107,ἔτης,"
		clansmen
    	",1
108,ἔτος,"
		year
    	",1
109,ἐτάζω,"
		examine, test,
    	",2
110,εἶτα,"
		then, next,
    	",10
111,κάτος,"
		following
    	",10
112,κατά,"
		downwards.
    	",4
113,κατά2,"
[definition unavailable]
",4
114,δῆμος,"
		a country-district, country, land
    	",1
115,δημός,"
		fat
    	",1
116,ἅπας,"
		sṃ-,
    	",1
117,ἀπαντάω,"
		move from
    	",1
118,ἀπαντή,"
[definition unavailable]
",1
119,δαιτυμών,"
		one that is entertained, guest,
    	",1
120,ἄνα,"
		king,
    	",1
121,ἄνα2,"
[definition unavailable]
",1
122,ἄναξ,"
		lord, master,
    	",1
123,ἄνη,"
		fulfilment,
    	",1
124,ἄνοος,"
		without understanding, silly,
    	",3
125,ἀνά,"
		on board
    	",1
126,ἀνάζω,"
[definition unavailable]
",1
127,δῶμα,"
		house
    	",1
128,δωμάω,"
		build
    	",1
129,ἀκουάζομαι,"
		hear, listen to
    	",1
130,ἧμαι,"
		ēs-
    	",1
131,ἑξείης,"
		in order, one after another
    	",1
132,ἑξῆς,"
		one after another, in order, in a row,
    	",4
133,ἔξεστι,"
		it is allowed, is possible,
    	",1
134,ἐξίημι,"
		send out, let
    	",1
135,παρά,"
		beside
    	",2
136,πῆρος,"
		loss of strength, dotage
    	",1
137,πηρός,"
		disabled in a limb, maimed
    	",1
138,δέομαι,"
		lack
    	",22
139,δέω,"
		bind, tie, fetter,
    	",1
140,δέω2,"
		lack, miss, stand in need of,
    	",1
141,δεῖ,"
		there is need
    	",22
142,πίμπλημι,"
		fill
    	",1
143,πλήθω,"
		to be full,
    	",1
144,τράπεζα,"
		table,
    	",1
145,σῖτος,"
		grain
    	",1
146,σιτέομαι,"
		to take food, eat
    	",1
147,σιτέω,"
		take food, eat
    	",1
148,ἀκή,"
		point
    	",1
149,ἀκή2,"
		silence
    	",1
150,ἀκή3,"
		healing
    	",1
151,αἴ,"
		ha!
    	",1
152,αἴ2,"
[definition unavailable]
",1
153,εἰ,"
		if
    	",1
154,εἰ2,"
[definition unavailable]
",1
155,καί,"
		and
    	",9
156,καί2,"
		and now
    	",9
157,καί3,"
		and so
    	",9
158,καί4,"
		and indeed, and further
    	",9
159,καίω,"
		kindle
    	",1
160,κρέας,"
		flesh, meat
    	",1
161,μέθυ,"
		wine
    	",4
162,ἐκ,"
		from out of,
    	",2
163,κρατήρ,"
		mixing vessel
    	",1
164,ἄφυσσα,"
[definition unavailable]
",1
165,ἀφύσσω,"
		draw
    	",1
166,οἰνόχοος,"
		cupbearer,
    	",1
167,οἰνοχόος,"
		a wine-pourer, cupbearer
    	",1
168,φορέω,"
		repeated
    	",1
169,ἐγχείη,"
		spear, lance
    	",1
170,ἐγχείη2,"
[definition unavailable]
",1
171,ἐγχύνω,"
[definition unavailable]
",1
172,δέπας,"
		beaker, goblet,
    	",1
173,οὗτος,"
		this
    	",2
174,ἔνειμι,"
		sum
    	",3
175,ἔνιοι,"
		some;
    	",3
176,ἐν,"
		in, into.
    	",1
177,ἐνίημι,"
		send in
    	",1
178,εἷς,"
		sem
    	",1
179,φρήν,"
		midriff,
    	",1
180,εἴδομαι,"
		are visible, appear
    	",1
181,σός,"
		thy, thine
    	",1
182,ἐμός,"
		mine
    	",2
183,κήδεος,"
		the charge of burying
    	",1
184,κῆδος,"
		care about
    	",1
185,θύμον,"
		Cretan thyme, Thymbra capitata
    	",2
186,θύμος,"
		warty excrescence
    	",2
187,θυμός,"
		soul, spirit
    	",2
188,ἐπιτρέπω,"
		to turn to
    	",1
189,στονόεις,"
		causing groans
    	",1
190,ἔρομαι,"
		ask, inquire,
    	",1
191,εἴρω,"
		fasten together in rows, string
    	",1
192,εἴρω2,"
		say, speak, tell
    	",1
193,εἴρω3,"
		ask
    	",1
194,ὄφρα,"
		that, in order that
    	",5
195,ἔτι,"
		yet, still
    	",1
196,μᾶλλον,"
[definition unavailable]
",2
197,μαλλός,"
		flock of wool
    	",2
198,ὀδύρομαι,"
		lament, bewail,
    	",1
199,στεναχίζω,"
		groan, sigh, wail
    	",1
200,πρότερος,"
		before, in front
    	",4
201,πρῶτος,"
		first
    	",4
202,πρωτός,"
		destined
    	",4
203,ἔπειτα,"
		thereupon, thereafter, then,
    	",4
204,ὑστάτιος,"
		at last,
    	",1
205,καταλέγω,"
		lay down
    	",1
206,καταλέγω2,"
		recount, tell at length and in order
    	",1
207,κήδω,"
		trouble, distress
    	",1
208,ἕπομαι,"
		follow
    	",1
209,ἔπειμι,"
		sum
    	",1
210,ἔπειμι2,"
		ibo
    	",1
211,ἔπος,"
		vácas
    	",1
212,ἐπεί,"
		after that, since, when,
    	",11
213,πολύς,"
		many,
    	",1
214,δίδωμι,"
		Aër.
    	",1
215,Οὐρανίωνες,"
		the heavenly ones, gods
    	",1
216,νῦν,"
		now,
    	",1
217,νῦν2,"
		now, even now,
    	",1
218,ὄνομα,"
		name
    	",1
219,ὀνομάζω,"
		speak of by name, call
    	",1
220,μυθέομαι,"
		speak
    	",1
221,μυθέω,"
[definition unavailable]
",1
222,εἶδον,"
		to see
    	",1
223,οἶδα,"
		to know
    	",1
224,ἄν,"
		he came,
    	",2
225,ἄν2,"
",1
226,ἄνω,"
		accomplish, finish,
    	",1
227,ἐάν,"
		if haply, if
    	",1
228,φεύγω,"
		flee, take flight,
    	",1
229,φυγή,"
		flight
    	",1
230,ὑπό,"
		úpa
    	",6
231,νηλεής,"
		pitiless, ruthless,
            relentless;
    	",1
232,νηλής,"
		pitiless, ruthless,
    	",3
233,ἦμαρ,"
		day
    	",2
234,ξένος,"
		foreign
    	",1
235,ἑός,"
		his, her own,
    	",1
236,ἠώς,"
		dawn
    	",1
237,ἀπόπροθι,"
		far away,
    	",2
238,ναίω,"
		dwell, abide
    	",1
239,ναίω2,"
		to run over, to be full
    	",1
240,νήιος,"
		of
    	",1
241,ἕννυμι,"
		ves-,
    	",1
242,ἕζομαι,"
		seat oneself, sit
    	",1
243,εἷμα,"
		garment
    	",1
244,εἶμι,"
		to go
    	",1
245,εἶμι2,"
		ibo
    	",1
246,Λαερτιάδης,"
		son of
            Laertes
    	",1
247,ὅσος,"
		as great as, how great
    	",1
248,πᾶσις,"
		acquisition, possession
    	",3
249,δόλος,"
[definition unavailable]
",1
250,δολόω,"
		beguile, ensnare, take by craft,
    	",1
251,ἄνθρωπος,"
		man,
    	",5
252,μέλω,"
		to be an object of care
    	",1
253,κλέος,"
		rumour, report
    	",2
254,οὐρανός,"
		heaven
    	",2
255,ἵκω,"
		come
    	",1
256,ναιετάω,"
		dwell
    	",1
257,Ἰθάκη,"
		to Ithaca
    	",2
258,εὐδείελος,"
		clear, distinct
    	",1
259,ὅρος,"
		boundary, landmark,
    	",1
260,ὄρος,"
		mountain, hill,
    	",1
261,ὀρός,"
		the watery
    	",1
262,ἀυτέω,"
		to cry
    	",1
263,ἀυτή,"
		to cry
    	",1
264,αὐτός,"
		self
    	",1
265,ἑαυτοῦ,"
		Stadtrecht von Gortyn
    	",1
266,Νήριτος,"
[definition unavailable]
",1
267,νήριτος,"
		countless, immense,
    	",1
268,εἰνοσίφυλλος,"
		with quivering foliage
    	",1
269,ἀριπρεπής,"
		very distin guished,
    	",1
270,ἀμφί,"
		abhitas
    	",5
271,νέω,"
		swim,
    	",1
272,νέω2,"
		spin,
    	",1
273,νέω3,"
		heap, pile up,
    	",1
274,νέω4,"
		next year,
    	",1
