book,line,ship,epithet_gr,epithet_en,number,case,clause,scansion
1,61,νηυσὶ,none,none,p,d,οὔ νύ τ’ Ὀδυσσεύς | Ἀργείων παρὰ νηυσὶ χαρίζετο ἱερὰ ῥέζων | Τροίηι ἐν εὐρείηι;,-- -uu -uu -uu -uu --
1,171,νηὸς,none,none,s,g,ὁπποίης δ’ ἐπὶ νηὸς ἀφίκεο;,-- -uu -uu -uu -uu --
1,182,νηῒ,none,none,s,d,"νῦν δ’ ὧδε ξὺν νηῒ κατήλυθον ἠδ’ ἑτάροισιν | πλέων ἐπὶ οἴνοπα πόντον ἐπ’ ἀλλοθρόους ἀνθρώπους,",-- -- -uu -uu -uu --
1,185,νηῦς,none,none,s,n,"νηῦς δέ μοι ἥδ’ ἕστηκεν ἐπ’ ἀγροῦ νόσφι πόληος,",-uu -uu -uu -- -uu --
1,211,νηυσίν,κοίληις,hollow,p,d,ἔνθά περ ἄλλοι | Ἀργείων οἱ ἄριστοι ἔβαν κοίληις ἐνὶ νηυσίν·,-- -uu -uu -- -uu --
1,260,νηὸς,θοῆς,swift,s,g,"ὤιχετο γὰρ καὶ κεῖσε θοῆς ἐπὶ νηὸς Ὀδυσσεύς | φάρμακον ἀνδροφόνον διζήμενος,",-uu -- -uu -uu -uu --
1,280,νῆ’,none,none,s,a,"νῆ’ ἄρσας ἐρέτηισιν ἐείκοσιν,",-uu -uu -uu -uu -uu --
1,303,νῆα,θοὴν,swift,s,a,"αὐτὰρ ἐγὼν ἐπὶ νῆα θοὴν κατελεύσομαι ἤδη | ἠδ’ ἑτάρους,",-uu -uu -uu -uu -uu --
1,311,νῆα,none,none,s,a,"ὄφρα λοεσσάμενός τε τεταρπόμενός τε φίλον κῆρ | δῶρον ἔχων ἐπὶ νῆα κίηις,",-uu --uu -uu -- -uu --
2,18,νηυσίν,κοίληις,hollow,p,d,"καὶ γὰρ τοῦ φίλος υἱὸς ἅμ’ ἀντιθέωι Ὀδυσῆϊ |  Ἴλιον εἲς εὔπωλον ἔβη κοίληις ἐνὶ νηυσίν,",-uu -uu -uu -- -uu --
2,27,νηυσίν,κοίληις,hollow,p,d,οὔτέ ποθ’ ἡμετέρη ἀγορὴ γένετ’ οὔτε θόωκος | ἐξ οὗ Ὀδυσσεὺς δῖος ἔβη κοίληις ἐνὶ νηυσίν.,-uu -- -uu -- -uu --
2,212,νῆα,θοὴν,swift,s,a,"ἀλλ’ ἄγε μοι δότε νῆα θοὴν καὶ εἴκοσ’ ἑταίρους,",-uu -uu -uu -- -uu --
2,226,νηυσὶν,none,none,p,d,"καί οἱ ἰὼν ἐν νηυσὶν ἐπέτρεπεν οἶκον ἅπαντα,",-uu -- -uu -uu -uu --
